x,y,yaw
-7.961977005004882812e+00,-2.975063800811767578e+00,3.404577255249023438e+00
-8.155059814453125000e+00,-3.027049779891967773e+00,3.404614925384521484e+00
-8.348141670227050781e+00,-3.079042673110961914e+00,3.404652595520019531e+00
-8.541220664978027344e+00,-3.131043195724487305e+00,3.404690265655517578e+00
-8.734297752380371094e+00,-3.183050632476806641e+00,3.404727697372436523e+00
-8.927373886108398438e+00,-3.235065460205078125e+00,3.404764890670776367e+00
-9.120447158813476562e+00,-3.287087440490722656e+00,3.404802083969116211e+00
-9.313518524169921875e+00,-3.339116573333740234e+00,3.404838800430297852e+00
-9.506588935852050781e+00,-3.391152620315551758e+00,3.404875516891479492e+00
-9.699656486511230469e+00,-3.443195819854736328e+00,3.404911756515502930e+00
-9.892722129821777344e+00,-3.495246171951293945e+00,3.404947757720947266e+00
-1.008578586578369141e+01,-3.547303199768066406e+00,3.404983520507812500e+00
-1.027884864807128906e+01,-3.599367141723632812e+00,3.405018806457519531e+00
-1.047190856933593750e+01,-3.651437997817993164e+00,3.405053615570068359e+00
-1.066496753692626953e+01,-3.703515291213989258e+00,3.405087947845458984e+00
-1.085802364349365234e+01,-3.755599260330200195e+00,3.405121803283691406e+00
-1.105107879638671875e+01,-3.807689905166625977e+00,3.405155181884765625e+00
-1.124413204193115234e+01,-3.859786748886108398e+00,3.405188083648681641e+00
-1.143718433380126953e+01,-3.911889791488647461e+00,3.405220508575439453e+00
-1.163023376464843750e+01,-3.963999271392822266e+00,3.405252218246459961e+00
-1.182328224182128906e+01,-4.016114711761474609e+00,3.405283212661743164e+00
-1.201632881164550781e+01,-4.068235874176025391e+00,3.405313730239868164e+00
-1.220937442779541016e+01,-4.120363235473632812e+00,3.405343532562255859e+00
-1.240241813659667969e+01,-4.172496318817138672e+00,3.405372619628906250e+00
-1.259545993804931641e+01,-4.224634647369384766e+00,3.405400991439819336e+00
-1.278850078582763672e+01,-4.276778697967529297e+00,3.405428647994995117e+00
-1.298153972625732422e+01,-4.328927516937255859e+00,3.405455350875854492e+00
-1.317457771301269531e+01,-4.381081581115722656e+00,3.405481576919555664e+00
-1.336761379241943359e+01,-4.433240890502929688e+00,3.405506849288940430e+00
-1.356064891815185547e+01,-4.485404968261718750e+00,3.405531167984008789e+00
-1.375368309020996094e+01,-4.537573337554931641e+00,3.405554771423339844e+00
-1.394671630859375000e+01,-4.589746475219726562e+00,3.405577421188354492e+00
-1.413974761962890625e+01,-4.641923904418945312e+00,3.405599117279052734e+00
-1.433277797698974609e+01,-4.694105148315429688e+00,3.405620098114013672e+00
-1.452580738067626953e+01,-4.746290683746337891e+00,3.405639886856079102e+00
