w_tr_right_m,w_tr_left_m,a,b,c_center,c_left,c_right
1.905458285296184,0.29454171470381607,0.2597102511598219,-0.9656865875854869,0.8049891107400502,1.0995308254438663,-1.100469174556134
1.9054494032106177,0.29455059678938256,0.2597460779534793,-0.9656769516705807,0.8047233906137425,1.0992739874031252,-1.1007260125968752
1.9054467270457431,0.29455327295425693,0.259782097523077,-0.965667262470107,0.8044487864634584,1.0990020594177152,-1.1009979405822847
1.9054502224419487,0.29454977755805145,0.25981830986275223,-0.9656575199624673,0.804165274857839,1.0987150524158904,-1.1012849475841098
1.9054599297197434,0.29454007028025686,0.2598545218370575,-0.9656477760968718,0.803874140986971,1.0984142112672277,-1.1015857887327725
1.905475982068354,0.2945240179316462,0.2598909265735434,-0.9656379788951681,0.8035740622201979,1.098098080151844,-1.101901919848156
1.9054984130240755,0.29450158697592466,0.259927330940649,-0.9656281803210127,0.8032663517769585,1.0977679387528831,-1.102232061247117
1.9055271629258228,0.2944728370741775,0.2599637349383224,-0.9656183803744198,0.8029511322117586,1.097423969285936,-1.1025760307140642
1.905562492911403,0.2944375070885972,0.26000013856651205,-0.9656085790554031,0.802628377528837,1.0970658846174342,-1.102934115382566
1.9056040307487345,0.29439596925126554,0.260036541825166,-0.9655987763639765,0.8022980171652803,1.096693986416546,-1.1033060135834543
1.9056523065289401,0.29434769347106005,0.2600728481553339,-0.9655889983074437,0.801961150406854,1.096308843877914,-1.1036911561220861
1.9057067629673314,0.29429323703266863,0.2601089610019725,-0.9655792709076114,0.8016184477266366,1.0959116847593053,-1.1040883152406948
1.9057679459974401,0.29423205400256003,0.2601449769278253,-0.965569568171668,0.8012692760725297,1.0955013300750898,-1.1044986699249104
1.905835478086812,0.2941645219131881,0.2601807993797633,-0.9655599161285162,0.8009145910541786,1.0950791129673667,-1.1049208870326335
1.9059096137071678,0.29409038629283235,0.26021633180849535,-0.9655503408213013,0.8005553762515709,1.0946457625444033,-1.105354237455597
1.9059898996574773,0.29401010034252284,0.2602516707766739,-0.9655408162568528,0.800190708944235,1.094200809286758,-1.1057991907132423
1.9060769351514768,0.2939230648485235,0.26028671973683043,-0.9655313684850642,0.7998219283874808,1.0937449932360042,-1.106255006763996
1.9061701254012227,0.2938298745987775,0.2603214786974228,-0.9655219975374912,0.7994489249103047,1.0932787995090822,-1.106721200490918
1.9062698706722734,0.2937301293277267,0.26035594766683917,-0.9655127034454296,0.7990718785064947,1.0928020078342215,-1.1071979921657786
1.9063757813313906,0.29362421866860955,0.2603899335526974,-0.9655035383179192,0.7986931154312118,1.0923173340998213,-1.1076826659001788
1.9064880789617031,0.29351192103829704,0.26042353291815307,-0.9654944761636017,0.7983116364117251,1.0918235574500221,-1.108176442549978
1.9066064270520398,0.2933935729479604,0.2604567457740388,-0.9654855170228074,0.7979277074778399,1.0913212804258003,-1.1086787195741998
1.9067310958299561,0.29326890417004403,0.2604894755833999,-0.9654766869843545,0.7975425661238433,1.0908114702938874,-1.1091885297061128
1.9068616758509693,0.29313832414903085,0.2605217223594433,-0.9654679860973481,0.7971564157747948,1.0902947399238256,-1.1097052600761745
1.906998489301622,0.2930015106983782,0.26055348611518486,-0.9654594144101678,0.7967694859141052,1.0897709966124833,-1.1102290033875168
1.9071410462244103,0.29285895377559,0.2605846703183485,-0.9654509980289407,0.796383160065576,1.0892421138411659,-1.1107578861588343
1.907289651546931,0.2927103484530691,0.2606153715283237,-0.9654427109482746,0.7959964755177205,1.0887068239707896,-1.1112931760292106
1.9074437719551063,0.292556228044894,0.2606453966705942,-0.9654346053433286,0.7956119793115857,1.0881682073564796,-1.1118317926435206
1.907603846112952,0.292396153887048,0.2606747457621535,-0.9654266812771629,0.7952301696055559,1.087626323492604,-1.1123736765073962
1.9077692532121993,0.2922307467878009,0.26070351536150616,-0.9654189127410716,0.7948498828801371,1.087080629667938,-1.1129193703320621
1.9079403052645627,0.29205969473543747,0.2607316089414801,-0.9654113258600124,0.7944727408294119,1.0865324355648494,-1.1134675644351508
1.9081165326141043,0.2918834673858959,0.2607590265179827,-0.9654039206929885,0.7940989442649671,1.085982411650863,-1.1140175883491372
1.9082982447137327,0.2917017552862674,0.2607856715668727,-0.9653967233761545,0.7937302592797972,1.0854320145660648,-1.1145679854339354
1.9084848857375714,0.29151511426242893,0.2608115441054028,-0.965389733973464,0.7933668501317981,1.084881964394227,-1.1151180356057733
1.9086766124577705,0.29132338754222953,0.2608367406886229,-0.965382926463347,0.793007688025968,1.0843310755681976,-1.1156689244318025
1.9088730579350601,0.29112694206494016,0.2608611647931802,-0.9653763269848423,0.7926544320492375,1.0837813741141775,-1.1162186258858227
1.9090744353462608,0.29092556465373953,0.2608847198979032,-0.9653699616850488,0.7923089621907331,1.0832345268444725,-1.1167654731555277
1.909280332509342,0.29071966749065825,0.26090750255634565,-0.9653638045368236,0.791970082662302,1.0826897501529602,-1.11731024984704
1.909490675103634,0.29050932489636616,0.26092931971169564,-0.9653579077807317,0.7916409603917152,1.0821502852880813,-1.1178497147119189
